Feature,Importance
BsmtFin Type 2_Rec,6.596631717155562e-05
Neighborhood_SawyerW,6.524790740924728e-05
Functional_Min1,6.518773315689465e-05
Neighborhood_Sawyer,6.478797097268449e-05
BsmtFin Type 2_LwQ,6.090953716941567e-05
Condition 1_PosA,5.860738865523133e-05
Neighborhood_IDOTRR,5.748513897587834e-05
Exterior 2nd_BrkFace,5.709767218548288e-05
Lot Shape_IR3,5.5979909950152616e-05
Heating_GasW,5.351128309741806e-05
Pool QC_Gd,5.252015711285113e-05
Garage Cond_Fa,5.2286081212496886e-05
Neighborhood_Mitchel,5.1455564044678356e-05
Fence_GdWo,5.118367949896113e-05
House Style_SLvl,4.98208749301711e-05
Roof Matl_Tar&Grv,4.635886212212474e-05
Functional_Min2,4.6153456011961424e-05
Paved Drive_P,4.556679237833688e-05
Sale Type_Oth,4.1801281678162954e-05
Exterior 2nd_Stucco,4.089587166556197e-05
Roof Style_Mansard,4.0743870564339936e-05
Garage Qual_None,4.045910159345494e-05
BsmtFin Type 2_None,3.917947455380033e-05
Garage Qual_Fa,3.889683322395086e-05
Fireplace Qu_Po,3.837986407662576e-05
Bldg Type_Twnhs,3.809690805950898e-05
BsmtFin Type 2_BLQ,3.69453055758155e-05
Bsmt Exposure_None,3.664853495212338e-05
Garage Type_CarPort,3.638053187484302e-05
BsmtFin Type 1_None,3.59813051522648e-05
Garage Finish_None,3.486126250575454e-05
Condition 1_RRAn,3.442812315421707e-05
Electrical_FuseF,3.423585904371345e-05
Low Qual Fin SF,3.289962737004077e-05
Roof Matl_WdShngl,3.2084474148640536e-05
Condition 1_PosN,3.0054527291125324e-05
Neighborhood_SWISU,3.0016902119608244e-05
Exterior 2nd_PreCast,2.9933357622050032e-05
Functional_Maj2,2.8219805618032414e-05
Misc Feature_Shed,2.7809507912819748e-05
Bsmt Cond_None,2.7673856260929708e-05
Fireplace Qu_Fa,2.604013234539788e-05
House Style_2.5Fin,2.456164738172252e-05
Mas Vnr Type_CBlock,2.392929551823071e-05
House Style_SFoyer,2.1142996722312983e-05
Sale Type_ConLD,2.068374820657387e-05
MS Zoning_RH,2.0018410526934072e-05
Exterior 1st_WdShing,1.9844728878534546e-05
Bsmt Qual_None,1.9829210911594063e-05
Roof Style_Shed,1.9747485575530135e-05
Condition 1_RRAe,1.874304510103153e-05
Neighborhood_BrDale,1.8533897140643784e-05
Condition 2_Norm,1.8431334185540653e-05
Roof Style_Gambrel,1.758549048201232e-05
Bldg Type_2fmCon,1.697386747268486e-05
Exterior 2nd_ImStucc,1.6744599305297047e-05
Heating_Grav,1.6718298855788646e-05
Heating_OthW,1.5554014676694783e-05
Functional_Sev,1.5457079295451496e-05
BsmtFin Type 2_GLQ,1.536292582094236e-05
Condition 2_PosN,1.4844893648053976e-05
Lot Config_FR3,1.4811177816457274e-05
Condition 1_RRNn,1.4522337618025568e-05
Street_Pave,1.4099255827313284e-05
Garage Type_Basment,1.3783680566575927e-05
Foundation_Slab,1.3651778044347157e-05
Neighborhood_NPkVill,1.1589520623899122e-05
Exter Qual_Fa,1.0045970928647958e-05
Misc Feature_Othr,9.737528902159265e-06
Sale Type_CWD,8.725985632015317e-06
Roof Matl_WdShake,8.143863030067592e-06
Garage Cond_Gd,7.579101788215998e-06
Sale Type_Con,6.604153001820986e-06
Exterior 1st_Stone,6.519254427978845e-06
Sale Type_ConLI,5.640543719402691e-06
Sale Type_ConLw,5.59390706852398e-06
Exterior 2nd_AsphShn,5.356337952248315e-06
Neighborhood_Blueste,4.367427050637961e-06
Exterior 1st_CBlock,4.279704326238027e-06
Exterior 1st_BrkComm,3.943064927622647e-06
Heating_Wall,3.7251132546647664e-06
House Style_1.5Unf,3.32954009565639e-06
Condition 2_PosA,3.1733042886582514e-06
Foundation_Wood,2.936693778499326e-06
Condition 2_Feedr,2.6242988271362034e-06
Exterior 2nd_Brk Cmn,2.588636861397639e-06
Bsmt Cond_Po,2.4944752646948635e-06
Roof Matl_Metal,2.363548163874346e-06
Roof Matl_Membran,1.939647581607019e-06
Neighborhood_Greens,1.933925304943823e-06
Fence_MnWw,1.8717928934438666e-06
Condition 1_RRNe,1.7905613814539635e-06
Garage Cond_Po,1.7081929255247825e-06
Pool QC_TA,1.5352442207857853e-06
Foundation_Stone,1.449815880482128e-06
Exter Cond_Po,1.3866131483834504e-06
